2025-02-26 00:28:54 | ERROR | ERREUR | API_FETCH | Erreur HTTP: 400 - Erreur de syntaxe dans le paramètre q
2025-02-26 00:30:58 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 00:30:58 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 88
2025-02-26 00:35:36 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 00:35:36 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 88
2025-02-26 00:37:02 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 00:37:02 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 88
2025-02-26 00:37:23 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 00:37:23 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 88
2025-02-26 01:40:59 | ERROR | ERREUR | SERVICE | Erreur : object of type 'Response' has no len()
2025-02-26 01:58:10 | ERROR | ERREUR | SERVICE | Erreur : object of type 'Response' has no len()
2025-02-26 01:59:29 | ERROR | ERREUR | SERVICE | Erreur : strptime() argument 1 must be str, not None
2025-02-26 02:06:43 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 945
2025-02-26 02:06:43 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 945
2025-02-26 02:06:47 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 785
2025-02-26 02:06:47 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 1730
2025-02-26 02:06:50 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 02:06:50 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 1730
2025-02-26 02:06:54 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 02:06:54 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 1730
