2025-02-27 00:27:43 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 9
2025-02-27 00:27:43 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 9
2025-02-27 00:27:55 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 9
2025-02-27 00:27:55 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 18
2025-02-27 00:28:07 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 9
2025-02-27 00:28:07 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 27
2025-02-27 00:31:26 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 935
2025-02-27 00:31:26 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 935
2025-02-27 00:31:39 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 917
2025-02-27 00:31:39 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 1852
2025-02-27 00:31:53 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 774
2025-02-27 00:31:53 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 2626
2025-02-27 00:32:07 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 718
2025-02-27 00:32:07 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 3344
2025-02-27 00:32:20 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 733
2025-02-27 00:32:20 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 4077
2025-02-27 00:32:34 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 701
2025-02-27 00:32:34 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 4778
2025-02-27 00:32:47 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 706
2025-02-27 00:32:48 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 5484
2025-02-27 00:33:01 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 689
2025-02-27 00:33:01 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 6173
2025-02-27 00:33:15 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 730
2025-02-27 00:33:15 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 6903
2025-02-27 00:33:28 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 701
2025-02-27 00:33:28 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 7604
2025-02-27 00:33:44 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 684
2025-02-27 00:33:44 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 8288
2025-02-27 00:45:58 | ERROR | ERREUR | STAGING_INSERT_ETABLISSEMENT | value too long for type character varying(9)
CONTEXT:  COPY temp_staging, line 2, column siren: "00552024200040"

2025-02-27 00:46:07 | ERROR | ERREUR | STAGING_INSERT_ETABLISSEMENT | value too long for type character varying(9)
CONTEXT:  COPY temp_staging, line 2, column siren: "04381111600011"

2025-02-27 00:52:24 | ERROR | ERREUR | STAGING_INSERT_ETABLISSEMENT | invalid input syntax for type boolean: "2025-02-04T02:38:22.204"
CONTEXT:  COPY temp_staging, line 2, column etablissementsiege: "2025-02-04T02:38:22.204"

2025-02-27 00:52:32 | ERROR | ERREUR | STAGING_INSERT_ETABLISSEMENT | invalid input syntax for type boolean: "2025-02-05T05:24:09.482"
CONTEXT:  COPY temp_staging, line 2, column etablissementsiege: "2025-02-05T05:24:09.482"

2025-02-27 01:05:11 | ERROR | ERREUR | STAGING_INSERT_ETABLISSEMENT | value too long for type character varying(9)
CONTEXT:  COPY temp_staging, line 2, column siren: "00552024200040"

2025-02-27 01:23:05 | ERROR | ERREUR | STAGING_INSERT_ETABLISSEMENT | value too long for type character varying(9)
CONTEXT:  COPY temp_staging, line 2, column siren: "00552024200040"

2025-02-27 01:31:04 | ERROR | ERREUR | STAGING_INSERT_ETABLISSEMENT | value too long for type character varying(9)
CONTEXT:  COPY temp_staging, line 2, column siren: "00552024200040"

2025-02-27 01:32:08 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 0
2025-02-27 01:32:08 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 0
2025-02-27 01:34:06 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 933
2025-02-27 01:34:06 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 933
2025-02-27 01:34:15 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 369
2025-02-27 01:34:15 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 1302
2025-02-27 01:49:47 | ERROR | ERREUR | STAGING_INSERT_ETABLISSEMENT | duplicate key value violates unique constraint "staging_siret"
DETAIL:  Key (siret)=(03868648100011) already exists.

2025-02-27 01:49:47 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1000
2025-02-27 01:50:25 | ERROR | ERREUR | STAGING_INSERT_ETABLISSEMENT | duplicate key value violates unique constraint "staging_siret"
DETAIL:  Key (siret)=(03868648100011) already exists.

2025-02-27 01:50:25 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1000
2025-02-27 01:50:34 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1000
2025-02-27 01:50:34 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1000
2025-02-27 01:50:34 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 2302
2025-02-27 01:50:34 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 2999
2025-02-27 01:50:43 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1000
2025-02-27 01:50:43 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1000
2025-02-27 01:50:43 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 3302
2025-02-27 01:50:43 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 3999
2025-02-27 01:50:52 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 716
2025-02-27 01:50:52 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 716
2025-02-27 01:50:52 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 4018
2025-02-27 01:50:52 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 4715
2025-02-27 01:59:50 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1000
2025-02-27 01:59:50 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1000
2025-02-27 01:59:50 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 1000
2025-02-27 01:59:50 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 1000
2025-02-27 02:00:00 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1000
2025-02-27 02:00:00 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1000
2025-02-27 02:00:00 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 2000
2025-02-27 02:00:00 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 2000
2025-02-27 02:00:09 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1000
2025-02-27 02:00:09 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1000
2025-02-27 02:00:09 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 3000
2025-02-27 02:00:09 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 3000
2025-02-27 02:00:19 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1000
2025-02-27 02:00:19 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1000
2025-02-27 02:00:19 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 4000
2025-02-27 02:00:19 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 4000
2025-02-27 02:00:29 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1000
2025-02-27 02:00:29 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1000
2025-02-27 02:00:29 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 5000
2025-02-27 02:00:29 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 5000
2025-02-27 02:00:39 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1000
2025-02-27 02:00:39 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1000
2025-02-27 02:00:39 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 6000
2025-02-27 02:00:39 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 6000
2025-02-27 02:00:49 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1000
2025-02-27 02:00:49 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1000
2025-02-27 02:00:49 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 7000
2025-02-27 02:00:49 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 7000
2025-02-27 02:11:21 | ERROR | ERREUR | STAGING_INSERT_ETABLISSEMENT | duplicate key value violates unique constraint "staging_siret"
DETAIL:  Key (siret)=(03868648100011) already exists.

2025-02-27 02:11:21 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1
2025-02-27 02:11:29 | ERROR | ERREUR | STAGING_INSERT_ETABLISSEMENT | duplicate key value violates unique constraint "staging_siret"
DETAIL:  Key (siret)=(03874365400014) already exists.

2025-02-27 02:11:29 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1
2025-02-27 02:18:03 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1
2025-02-27 02:18:03 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1
2025-02-27 02:18:03 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 1
2025-02-27 02:18:03 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 1
2025-02-27 02:18:12 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1
2025-02-27 02:18:12 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1
2025-02-27 02:18:12 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 2
2025-02-27 02:18:12 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 2
2025-02-27 02:18:20 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1
2025-02-27 02:18:20 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1
2025-02-27 02:18:20 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 3
2025-02-27 02:18:20 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 3
2025-02-27 02:19:03 | ERROR | ERREUR | STAGING_INSERT_ETABLISSEMENT | duplicate key value violates unique constraint "staging_siret"
DETAIL:  Key (siret)=(00558050100046) already exists.

2025-02-27 02:19:03 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1000
2025-02-27 02:19:13 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1000
2025-02-27 02:19:13 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1000
2025-02-27 02:19:13 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 1003
2025-02-27 02:19:13 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 2002
2025-02-27 02:19:22 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1000
2025-02-27 02:19:22 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1000
2025-02-27 02:19:22 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 2003
2025-02-27 02:19:22 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 3002
2025-02-27 02:27:53 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1
2025-02-27 02:27:53 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1
2025-02-27 02:27:53 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 2004
2025-02-27 02:27:53 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 3002
2025-02-27 02:28:01 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1
2025-02-27 02:28:01 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1
2025-02-27 02:28:01 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 2005
2025-02-27 02:28:01 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 3002
2025-02-27 02:28:10 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1
2025-02-27 02:28:10 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1
2025-02-27 02:28:10 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 2006
2025-02-27 02:28:10 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 3002
2025-02-27 02:28:18 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1
2025-02-27 02:28:18 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1
2025-02-27 02:28:18 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 2007
2025-02-27 02:28:18 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 3002
2025-02-27 02:32:48 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1
2025-02-27 02:32:48 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1
2025-02-27 02:32:48 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 1
2025-02-27 02:32:48 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 1
2025-02-27 02:32:57 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1
2025-02-27 02:32:57 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1
2025-02-27 02:32:57 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 2
2025-02-27 02:32:57 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 2
2025-02-27 02:33:05 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1
2025-02-27 02:33:05 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1
2025-02-27 02:33:05 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 3
2025-02-27 02:33:05 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 3
2025-02-27 02:33:13 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1
2025-02-27 02:33:13 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1
2025-02-27 02:33:13 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 4
2025-02-27 02:33:13 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 4
2025-02-27 02:35:20 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1000
2025-02-27 02:35:20 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1000
2025-02-27 02:35:20 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 1000
2025-02-27 02:35:20 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 1000
2025-02-27 02:35:30 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1000
2025-02-27 02:35:30 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1000
2025-02-27 02:35:30 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 2000
2025-02-27 02:35:30 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 2000
2025-02-27 02:35:40 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1000
2025-02-27 02:35:40 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1000
2025-02-27 02:35:40 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 3000
2025-02-27 02:35:40 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 3000
2025-02-27 02:35:49 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1000
2025-02-27 02:35:49 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1000
2025-02-27 02:35:49 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 4000
2025-02-27 02:35:49 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 4000
2025-02-27 02:35:59 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1000
2025-02-27 02:35:59 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1000
2025-02-27 02:35:59 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 5000
2025-02-27 02:35:59 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 5000
2025-02-27 02:36:08 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1000
2025-02-27 02:36:08 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1000
2025-02-27 02:36:09 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 6000
2025-02-27 02:36:09 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 6000
2025-02-27 03:08:50 | ERROR | ERREUR | STAGING_INSERT_ETABLISSEMENT | duplicate key value violates unique constraint "staging_siret"
DETAIL:  Key (siret)=(03868648100011) already exists.

2025-02-27 03:08:50 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1000
2025-02-27 03:08:59 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1000
2025-02-27 03:08:59 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1000
2025-02-27 03:08:59 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 4853
2025-02-27 03:08:59 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 7960
2025-02-27 03:09:08 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1000
2025-02-27 03:09:08 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1000
2025-02-27 03:09:08 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 5744
2025-02-27 03:09:09 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 8960
2025-02-27 03:09:18 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 716
2025-02-27 03:09:18 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 716
2025-02-27 03:09:18 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 6359
2025-02-27 03:09:18 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 9676
2025-02-27 03:09:26 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 0
2025-02-27 03:09:26 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 0
2025-02-27 03:09:26 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 6359
2025-02-27 03:09:26 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 9676
2025-02-27 03:09:35 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 0
2025-02-27 03:09:35 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 0
2025-02-27 03:09:35 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 6359
2025-02-27 03:09:35 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 9676
2025-02-27 03:11:34 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1000
2025-02-27 03:11:34 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1000
2025-02-27 03:11:34 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 933
2025-02-27 03:11:35 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 1000
2025-02-27 03:11:44 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1000
2025-02-27 03:11:44 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1000
2025-02-27 03:11:44 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 1302
2025-02-27 03:11:44 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 2000
2025-02-27 03:11:54 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1000
2025-02-27 03:11:54 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1000
2025-02-27 03:11:54 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 1756
2025-02-27 03:11:54 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 3000
2025-02-27 03:12:04 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1000
2025-02-27 03:12:04 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1000
2025-02-27 03:12:04 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 2588
2025-02-27 03:12:04 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 4000
2025-02-27 03:12:13 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1000
2025-02-27 03:12:13 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1000
2025-02-27 03:12:13 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 3348
2025-02-27 03:12:13 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 5000
2025-02-27 03:12:23 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1000
2025-02-27 03:12:23 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1000
2025-02-27 03:12:23 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 4205
2025-02-27 03:12:23 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 6000
2025-02-27 03:12:33 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1000
2025-02-27 03:12:33 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1000
2025-02-27 03:12:33 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 4746
2025-02-27 03:12:33 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 7000
2025-02-27 03:12:43 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1000
2025-02-27 03:12:43 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1000
2025-02-27 03:12:43 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 5035
2025-02-27 03:12:43 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 8000
2025-02-27 03:12:53 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1000
2025-02-27 03:12:53 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1000
2025-02-27 03:12:53 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 5285
2025-02-27 03:12:53 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 9000
2025-02-27 03:13:03 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1000
2025-02-27 03:13:03 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1000
2025-02-27 03:13:03 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 5622
2025-02-27 03:13:03 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 10000
2025-02-27 03:13:13 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1000
2025-02-27 03:13:13 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1000
2025-02-27 03:13:13 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 5879
2025-02-27 03:13:13 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 11000
2025-02-27 03:13:23 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1000
2025-02-27 03:13:23 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1000
2025-02-27 03:13:23 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 6132
2025-02-27 03:13:23 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 12000
2025-02-27 03:13:33 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1000
2025-02-27 03:13:33 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1000
2025-02-27 03:13:33 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 6324
2025-02-27 03:13:33 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 13000
2025-02-27 03:13:43 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1000
2025-02-27 03:13:43 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1000
2025-02-27 03:13:43 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 6601
2025-02-27 03:13:43 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 14000
2025-02-27 03:13:53 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1000
2025-02-27 03:13:53 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1000
